Site,Time,Abundance,Log_Abundance,Simpson,Richness,Rarefied_Richness,ENS,log_ENS,Fw_dist_km,Abund_std,Log_Abundance_std,Simpson_std,Richness_std,Rarefied_Richness_std,ENS_std,avg_sal,avg_temp,stdev_sal,stdev_temp,avg_dens,avg_LAI,fish_abund,fish_ens,Shannon,chao,jack2
DC,1,67.75,1.792512894,0.57089718,7.0625,7.845833333,2.565107008,0.409105487,24.4,28.70423894,0.201757858,0.140749282,1.948289848,2.577735871,0.842011415,27.64516129,11.5,2.170382257,0.77588659,12.25,8037.15,,,1.180729678,20.5,22.16666667
WI,1,26.1875,1.262462826,0.770962022,8.4375,11.75520833,5.389932541,0.73158333,20.6,26.73130188,0.373126682,0.117925723,3.140461749,5.053369682,2.488299819,21.55,11.835,3.806849782,1.043917218,8,3927.733333,,,1.779035724,34.65625,37.2375
RP,1,59.9375,1.734724663,0.496921677,6.0625,6.59375,2.186519244,0.339753304,15.4,28.68790396,0.19647413,0.158293308,1.806239187,2.007364912,0.715898256,23.53333333,11.90555556,1.347765035,0.406523601,7.667,2245,,,1.055077394,26.65625,29.2375
NB,1,39.375,1.517095543,0.502678592,6.4375,9.942708333,2.805035145,0.447938307,10,19.71420807,0.315839262,0.15940691,2.5811819,7.992862484,1.239352235,17.03636364,12.32272727,3.696786952,1.031841543,6.5,1592.775,,,1.059075952,38,35.86666667
CB,1,35.2,1.465139978,0.573063655,5.466666667,6.405555556,2.181918729,0.33883857,5.8,26.92370172,0.265959616,0.192785714,2.587515815,3.18149203,0.664987231,16.05625,12.1625,2.096336089,0.800728835,4,1903.3,,,1.149541156,25.36,28.77619048
DC,2.5,513.3125,2.606729378,0.209875031,6.9375,7.575,1.454374299,0.162676191,24.4,361.7173332,0.325633162,0.175077308,2.379600807,2.859487134,0.960990296,24.8952381,12.99047619,6.265818078,1.012375801,,,12,2,0.497977462,17.15625,16.3625
WI,2.5,77.9375,1.671228692,0.520309554,8.0625,10.52291667,2.80847744,0.44847094,20.6,58.6939601,0.409293497,0.205116309,2.585674822,5.726649851,1.867584228,22.68787879,13.4969697,6.141648678,1.313031999,,,27,1.944,1.264750557,25.75,27.61666667
BE,2.5,102.3125,1.941932454,0.258786226,6.5625,7.848958333,3.455088602,0.538459189,19.4,56.43488135,0.262698337,0.151606121,2.943212531,3.684579823,1.012605163,,,,,,,,,1.676183535,20.75,22.61666667
EI,2.5,542.25,2.649403315,0.742203708,9.3125,11.125,2.252874149,0.352736932,19,360.6472885,0.278663631,0.053706838,2.182315284,5.004997502,1.047368409,,,,,,,61,2.278628291,1.136700749,21.0546875,22.17083333
RP,2.5,376.8125,2.418457969,0.683168421,15.3125,16.69270833,2.47125474,0.392917515,15.4,312.9471135,0.432986489,0.102947382,3.43935556,4.419623617,0.715521142,22.01666667,15.2125,4.519202187,3.043926597,,,120,5.24399126,1.020082259,33.859375,35.42916667
NB,2.5,130.5625,1.947632951,0.569039264,6.9375,8.145833333,2.640615616,0.421705187,10,106.5620125,0.450421952,0.10186269,2.174664725,3.034294719,0.999132511,16.32380952,15.83333333,4.216266685,2.55662538,,,86,1.720800372,0.91495387,20.0546875,21.17083333
CB,2.5,124.8125,1.983807055,0.486591915,7.5,9.96875,2.872723634,0.458293847,5.8,76.45758628,0.372986877,0.171467932,2.476556749,5.613877893,0.67098155,17.6,15.94285714,4.483525399,4.087122634,,,77,2.426934097,1.412472049,19.625,20.175
BI,2.5,101.625,1.885690973,0.672670001,8.9375,13.14583333,2.115514906,0.32541609,5,94.35314868,0.325862821,0.102501489,1.982212568,4.574840617,0.215393606,,,,,,,,,1.261292075,23.5,25.8
CC,2.5,45.25,1.5299509,0.48970273,5.3125,7.114583333,2.697011535,0.430882804,2.2,30.50573717,0.378797496,0.134475512,1.778341924,3.826669933,0.571906621,,,,,,,,,1.247876586,12.9375,15.625
DC,4,1181.3125,3.035062191,0.521259846,10.0625,11.8125,4.026620938,0.604940747,24.4,457.7808382,0.197210148,0.064104198,1.842778699,3.741100551,1.57391583,22.05833333,14.93333333,1.823312836,0.533143906,12.667,7901.8,,,1.637206293,27.21875,30.60833333
WI,4,600.0625,2.677144634,0.631651656,14.3125,17.46979167,3.894787997,0.590483823,20.6,449.002668,0.320262616,0.095652108,2.914761282,5.67125376,0.974796114,18.63333333,17.03333333,0.937436867,0.673300329,7.75,4610.7,,,1.503671888,41.484375,41.05416667
RP,4,860.75,2.890286124,0.612866594,11.125,14.5625,2.33315251,0.367943128,15.4,467.8640116,0.191837533,0.083522184,2.125245084,6.913453069,0.934698673,17.8,17.75,0.275680975,0.294957624,8,4513.675,,,1.011675345,52.25,40.5
NB,4,94.125,1.869746811,0.574039313,7.75,8.71875,1.419696554,0.152195528,10,69.67627525,0.316664994,0.142134906,1.914854216,2.664387046,0.386009295,13.68333333,21.41666667,1.070358195,3.595228319,9.5,4301.8125,,,1.401668337,19.875,21.98333333
CB,4,121.7333333,1.949859892,0.721944102,11.06666667,13.48412698,3.266173084,0.514039196,5.8,101.1910969,0.376414298,0.09226686,4.44757826,6.298819161,1.092260093,15.38333333,19.43333333,1.523701633,1.941820452,7.25,3562.05,,,0.592185254,53.33333333,46.39047619
,,,,,,,,,,,,,,,,,,,,,,1.318121012,,,,
,,,,,,,,,,,,,,,,,,,,,,0.53812065,,,,
,,,,,,,,,,,,,,,,,,,,,,2.602392337,,,,
